日時,PaperCutユーザ名,金額,ポイントチャージ,注文ID,チャージステータス
2025-10-22 17:03:05,azam,200,100,3bede2c3a5a34edc931c4ca5da65eca1,Waiting for Payment
2025-10-22 17:06:01,azam,200,100,order_4ccb1dbcb48c41c6b58670ff59758534,Waiting for Payment
2025-10-22 17:06:13,azam,600,300,order_c83c6d92f9704bdbb9a407df31f4cc9b,Waiting for Payment
2025-10-22 17:08:22,azam,400,200,order_ac58315eb32548e99a4242c545fb8333,Waiting for Payment
2025-10-22 17:12:59,azam,600,300,order_f8477d2fa3404ede9f0c3cc9b8900d8a,Waiting for Payment
2025-10-22 17:15:45,azam,1000,500,order_a8527ce04f184935a58f67abc19bae37,Waiting for Payment
2025-10-22 17:16:02,azam,200,100,order_271f6f88c4a74ebaabf352bf3eec681d,Waiting for Payment
2025-10-22 17:16:13,azam,200,100,order_a052de19e11e4a238154ebdb02fdd16a,Waiting for Payment
2025-10-22 17:17:09,azam,200,100,order_337eccc002c74d67aee2861aadbbfc4b,Waiting for Payment
2025-10-22 17:17:30,azam,200,100,order_cd61da29fa27482d912e5d750b3d20d1,Waiting for Payment
2025-10-22 17:26:39,azam,200,100,order_f8bad38f8b0a40c2909dcb0a18fc8750,Waiting for Payment
2025-10-22 17:29:20,azam,200,100,order_1359990611354b0db6a4ef342e0127f6,Waiting for Payment
2025-10-22 17:33:00,azam,200,100,order_5ff57a58dbd34261bf022e072120275f,Waiting for Payment
2025-10-22 17:34:41,azam,200,100,order_4acc8885a00f41ab866a500ae151953a,Waiting for Payment
2025-10-22 17:35:13,azam,200,100,order_0219ba6933b34ad58f342f65cae8b040,Waiting for Payment
2025-10-22 17:35:17,azam,200,100,order_9d49c8bddd854c4984e77fde95f12854,Waiting for Payment
2025-10-23 13:22:14,azam,600,300,fc1d6c6c03da4965897a0a2e36c8f60e,Charge Success
2025-10-23 13:23:05,azam,600,300,2ae3f4d8f87b4da8a0c37500a3b35a6c,Charge Success
2025-10-23 13:24:08,azam,400,200,d477586cfdfd46a0b2d3a373aad2c551,Charge Success
2025-10-29 16:56:53,ali,400,200,c004263b173e4025b00f79eae696ad5e,Charge Success
2025-10-30 10:47:43,azam,200,100,order_4c00dbc3bac249a5a57079ebe1de54d6,Waiting for Payment
2025-10-30 11:13:36,azam,200,100,order_2dc652431b1b475389e5509b8ea1457c,Waiting for Payment
2025-10-30 11:30:09,azam,200,100,order_ae137756b12147aa905346cc5c1e0e3d,Waiting for Payment
2025-10-30 11:43:34,azam,200,100,8b33c56f4f2047a7aa2eb112b4128c39,Charge Success
2025-10-30 11:52:52,azam,200,100,4bc62d6020314515a8759afad645fec7,Waiting for Payment
2025-10-30 11:53:18,azam,200,100,order_87dfeee18d16482dbd06e0829ecad2b4,Waiting for Payment
2025-10-30 14:37:19,azam,200,100,order_81a8022205a84fa79173f2cfa51e5b58,Charge Success
2025-10-30 15:29:22,azam,200,100,order_bde425fadd254d68977ddad9d659c526,Charge Success
2025-11-04 13:51:48,azam,300,100,order_fa8673add687478d9a8a5340e8fd9726,Waiting for Payment
2025-11-04 16:42:39,ali,300,100,d7025ff15b674d9ab2c5bb8ba6f093f6,Waiting for Payment
2025-11-04 16:43:36,ali,300,100,order_f2cd4a815bf4452d977d492456ad62cf,Waiting for Payment
2025-11-05 11:37:03,azam,300,100,order_5ef04d2dc47e402fab51d8b0198fbd20,Charge Success
2025-11-05 13:33:44,azam,300,100,order_f92f5c0ffcd74bb98312f8d866db9338,Waiting for Payment
2025-11-05 13:35:17,azam,300,100,order_0724294dc73b4c43bc4e15bd7a9cb50c,Waiting for Payment
2025-11-05 13:39:08,ali,300,100,order_cb10af8c92744a5494ac4cbed7e68807,Waiting for Payment
2025-11-05 13:40:15,ali,300,100,order_98a46104f94444dabab902155cab802e,Waiting for Payment
2025-11-05 13:47:02,ali,300,100,order_2261d090d5b648f0bdace702de31ae58,Charge Success
2025-11-20 16:02:33,azam,300,100,order_ba1704acec394f8fabefd45cf57ab15c,Charge Success
2025-12-02 16:41:39,admin,100,100,order_9c3eb4ee98cf4cf4be038d1ff0844dd7,Waiting for Payment
2025-12-11 09:46:00,admin,100,100,sb_543c5d75f002447697fee7f211fe071f,Waiting for Payment
2025-12-11 09:46:17,admin,100,100,sb_49219a0fccdd4e798b333c81989c3d97,Waiting for Payment
2025-12-11 09:47:16,admin,100,100,sb_58887a8eb3d640838ce37c02023f4910,Waiting for Payment
2025-12-11 11:01:03,admin,100,100,sb_83ef7f9211d04b2b9dfd4f386d0b7408,Waiting for Payment
2025-12-11 11:32:19,azam,100,100,sb_5bca7e5097b3427cbb33000dc259bbc2,Waiting for Payment
2025-12-11 11:34:50,azam,100,100,1e2c98e8e3474aeca3693c8a49b15378,Waiting for Payment
2025-12-11 11:52:51,azam,100,100,sb_c394395b94654641ab19aa645f33678a,Waiting for Payment
2025-12-11 14:30:53,ali,100,100,sb_ffff1903e3de4c1bb1963a5ca80e8e63,Waiting for Payment
2025-12-11 14:31:42,ali,100,100,61c296e8acbb4b379b6cce6f5010ff2f,Waiting for Payment
2025-12-11 14:42:16,ali,100,100,4fcafa9774a04a9d9662a7c0bca662e7,Waiting for Payment
2025-12-11 16:09:32,azam,100,100,sb_e11b9638b4c74d8f960716e375b0728c,Waiting for Payment
2025-12-11 16:11:22,azam,100,100,sb_36090568c04a4cde9966f5d6a9ad6103,Waiting for Payment
2025-12-11 16:20:04,admin,100,100,sb_d3e606195d694a10a8d251f46d32d36b,Charge Success
2025-12-11 16:24:04,azam,100,100,sb_1be8b85dec6b40258b23bdedd5114b39,Waiting for Payment
2025-12-11 16:24:04,ali,100,100,sb_98b9a8872e434f39b3666115e92a0d3e,Waiting for Payment
2025-12-11 16:32:28,admin,100,100,sb_086cff9d87e847d0851aa3e853808369,Waiting for Payment
2026-01-30 11:31:31,admin,250,250,cae06611d60f435f974e1b57f2c91ad5,Charge Success
